BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
3460,13,HUBNER,HUBNER,,,"I  ",8330
1117,13,BUSHBLOK,BUSHBLOK,,,"I  ",8330
7397,13,TRECHAS,TRECHAS,,,"I  ",8330
4520,13,"MATT'S MUNCHIES",MATTMUNCH,,,"I  ",8330
7519,13,UGLU,UGLU,,,"I  ",8330
1504,13,CLARITIN,CLARITIN,,,"I  ",8330
6398,13,SCOTTWOOD,SCOTTWOOD,,,"I  ",8330
4053,13,"LAMAS BOTANICALS",LAMASBOTAN,,,"I  ",8330
5338,13,"OLIVIO PRREMIUM PRODUCTS",OLIVIO,,,"I  ",8330
8068,13,ZATARAIN'S,ZATARAIN,,,"I  ",8330
1380,13,CHASER,CHASER,,,"I  ",8330
1199,13,CAMARONAZO,CAMARONAZO,,,"I  ",8330
442,13,"ATLAS WORLD",ATLASWORLD,,,"I  ",8330
2135,13,"DUTCH GOLD PURE HINEY",DUTCHGOLD,,,"I  ",8330
7437,13,"TRP COMPANY",TRP,,,"I  ",8330
4909,13,"NANKA SEIMEN",NANKA,,,"I  ",8330
3258,13,HEARO'S,HEARO,,,"I  ",8330
3031,13,GRAPEOLA,GRAPEOLA,,,"I  ",8330
3300,13,HENGSTENBERG,HENGSTNBRG,,,"I  ",8330
2972,13,"GOOD O",GOODO,,,"I  ",8330
5052,13,NATUREWORKS,NATWORKS,,,"I  ",8330
5296,13,OHGAVE,OHGAVE,,,"I  ",8330
423,13,"ASPEN TASTE",ASPENTASTE,,,"I  ",8330
17,13,3M,3M,,,"I  ",8330
6030,13,REACH,REACH,,,"I  ",8330
2686,13,FUDGE'S,FUDGE,,,"I  ",8330
7191,13,TESTOS,TESTOS,,,"I  ",8330
5561,13,"PASSAGE FOODS",PASSAGE,,,"I  ",8330
7967,13,"WORLDWIDE SPORTS NUTRITION",WORLDWIDE,,,"I  ",8330
6192,13,"ROGUE CREAMERY",ROGUECRMRY,,,"I  ",8330
7540,13,"UNCLE EDDIE'S",UNCLEDDIE,,,"I  ",8330
3216,13,HASBRO,HASBRO,,,"I  ",8330
7355,13,"TOP CARE",TOPCARE,,,"I  ",8330
4703,13,"MISTY CAPE",MISTYCAPE,,,"I  ",8330
2888,13,GLUTANO,GLUTANO,,,"I  ",8330
