RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
814,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",RTS,ASEPTIC,SEGMENT/BRAND,"I  ",8315
101,7,DAIRY/PERISHABLE,"DIPS & SALSAS",TOMATO,,BRAND/SEGMENT,"I  ",8315
461,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","32 OUNCES OR LESS",COCONUT,SEGMENT/BRAND,"I  ",8315
713,7,GROCERY,"DIPS & SALSAS",RTU-DIPS,BEAN,SEGMENT/BRAND,"I  ",8315
362,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)",OTHER,,BRAND/SEGMENT,"I  ",8315
446,7,DAIRY/PERISHABLE,DESSERTS,"READY TO SERVE",COOKIES,SEGMENT/BRAND,"I  ",8315
652,7,GROCERY,"CANNED MEATS, STEWS & SEAFOOD","FISH COCKTAIL",CAN,SEGMENT/BRAND,"I  ",8315
162,7,FROZEN,DESSERTS,"COOKIES - BROWNIES",,BRAND/SEGMENT,"I  ",8315
183,7,FROZEN,VEGETABLES,POTATO,,SEGMENT/BRAND,"I  ",8315
360,7,GROCERY,"SALAD DRESSINGS",POURABLE,,SEGMENT/BRAND,"I  ",8315
631,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS",NUTS,"IN SHELL",SEGMENT/BRAND,"I  ",8315
421,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS","CLEAN UP",,BRAND/SEGMENT,"I  ",8315
486,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","KIDS AND BABY","M/P YOGURT DRINK",SEGMENT/BRAND,"I  ",8315
732,7,GROCERY,GRAINS,NON-INSTANT,BAGS,BRAND/SEGMENT,"I  ",8315
772,7,GROCERY,"NUT BUTTERS & SPREADS",PEANUT,POWDERED,SEGMENT/BRAND,"I  ",8315
692,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",ADDITIVES,"CREAM OF COCONUT",SEGMENT/BRAND,"I  ",8315
427,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",KENNELS/CRATES,,BRAND/SEGMENT,"I  ",8315
734,7,GROCERY,GRAINS,NON-INSTANT,"GUSSETS, CELLOS/STAND-UPS",BRAND/SEGMENT,"I  ",8315
875,7,"GROCERY/NON FOOD","TRASH, FOOD STORAGE & WRAPS","FOOD STORAGE",CONTAINERS,SEGMENT/BRAND,"I  ",8315
467,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","64 OUNCES OR LESS",OTHER,SEGMENT/BRAND,"I  ",8315
791,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","TRAIL MIX/CLUSTERS",CLUSTERS,BRAND/SEGMENT,"I  ",8315
711,7,GROCERY,"CRACKERS & CRISPBREADS","NON CRISPBREADS","NON RICE",BRAND/SEGMENT,"I  ",8315
507,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY",DAIRY/FRUIT,"QUART STYLE",BRAND/SEGMENT,"I  ",8315
831,7,GROCERY,"SWEETENERS: DRY & LIQUID","SUGAR ALTERNATIVES",OTHER,SEGMENT/BRAND,"I  ",8315
122,7,DAIRY/PERISHABLE,"MILK AND CREAM","MILK QUARTS",,SEGMENT/BRAND,"I  ",8315
97,7,DAIRY/PERISHABLE,"DIPS & SALSAS",FISH,,BRAND/SEGMENT,"I  ",8315
476,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","CULTURED BEVERAGE","M/P YOGURT DRINK",SEGMENT/BRAND,"I  ",8315
326,7,GROCERY,"OILS: NON-OLIVE","OILS 14-22 OZ",,SEGMENT/BRAND,"I  ",8315
141,7,FROZEN,BEVERAGES,"THAW & SERVE",,SEGMENT/BRAND,"I  ",8315
703,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,RTU-MARTINI,SEGMENT/BRAND,"I  ",8315
488,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","NON DAIRY GREEK YOGURT","MULTI PACK",SEGMENT/BRAND,"I  ",8315
530,7,GROCERY,ASIAN,"COOKING INGREDIENTS",VEGETABLE,SEGMENT/BRAND,"I  ",8315
202,7,GROCERY,"BAKING & CAKE DECORATING","FROSTING & ICING",,SEGMENT/BRAND,"I  ",8315
448,7,DAIRY/PERISHABLE,DESSERTS,"READY TO SERVE",MOCHI,SEGMENT/BRAND,"I  ",8315
774,7,GROCERY,"NUTRITIONAL BARS AND ENERGY GELS/CHEWS",BARS,PROTEIN,SEGMENT/BRAND,"I  ",8315
854,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BATTERIES-OTHER,"ALL PURPOSE",SEGMENT/BRAND,"I  ",8315
835,7,GROCERY,"SWEETENERS: DRY & LIQUID","SUGAR SUBSTITUTE",SPLENDA,SEGMENT/BRAND,"I  ",8315
284,7,GROCERY,"GRAIN CAKES","STACKED: POP",,SEGMENT/BRAND,"I  ",8315
795,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)",CHIP,MULTIGRAIN,BRAND/SEGMENT,"I  ",8315
856,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BATTERIES-OTHER,MEDICAL,SEGMENT/BRAND,"I  ",8315
585,7,GROCERY,"BAKING & CAKE DECORATING","MIXES: GELATIN, MOUSSE, PUDDING, OTHER",OTHER,SEGMENT/BRAND,"I  ",8315
387,7,GROCERY,"SPECIALTY TEA, NON RTD",WHITE,,BRAND/SEGMENT,"I  ",8315
469,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","64 OUNCES OR LESS",SOY,SEGMENT/BRAND,"I  ",8315
265,7,GROCERY,COFFEE,OTHER,,BRAND/SEGMENT,"I  ",8315
701,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,RTU-CLASSIC,SEGMENT/BRAND,"I  ",8315
549,7,GROCERY,"BABY FOOD",JAR,"STAGE 3",SEGMENT/BRAND,"I  ",8315
366,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)","STICKS-NON PRETZEL",,BRAND/SEGMENT,"I  ",8315
753,7,GROCERY,INDIAN,SAUCES,COOKING,SEGMENT/BRAND,"I  ",8315
812,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",RAMEN,CUP,SEGMENT/BRAND,"I  ",8315
627,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL",NON-ENHANCED,"SINGLE SERVE: NON SPARKLING",SEGMENT/BRAND,"I  ",8315
150,7,FROZEN,"BREAD & BAKED GOODS","PIZZA CRUST",,SEGMENT/BRAND,"I  ",8315
568,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS",FLOUR,SEGMENT/BRAND,"I  ",8315
177,7,FROZEN,"MEAT ALTERNATIVES",OTHER,,BRAND/SEGMENT,"I  ",8315
95,7,DAIRY/PERISHABLE,"DIPS & SALSAS",DAIRY,,BRAND/SEGMENT,"I  ",8315
